label,pattern
developed,well undevelope
developed,well undeveloped
developed,well-dev
developed,well-devel
developed,well-developed
fallopian,fallopian
fallopian,fallopian tube
fallopian,fallopian tubes
fallopian,foll
fallopian,foll tube
fallopian,foll tubes
fallopian,foll.
fallopian,foll. tube
fallopian,foll. tubes
fallopian,folls
fat,fat
fat,fats
fat,fatty
horn,horn
horn,horns
left,emb-l
left,l
left,l side
left,l x
left,l.
left,l. side
left,l. x
left,left
left,left side
left,lf
left,lf side
left,lf.
left,lf. side
left,lft
left,lft side
left,lft.
left,lft. side
left,lt
left,lt.
left,lx
left,on left
luteum,lut
luteum,lut.
luteum,lute
luteum,lute.
luteum,luteum
mature,imm
mature,imm.
mature,immature
mature,mature
non,no
non,non
non,not
non,semi
non,sub
other,few
other,sev
other,sev.
other,somewhat
ovary,ov
ovary,ovaries
ovary,ovary
ovary,ovarys
right,emb-r
right,on right
right,r
right,r side
right,r x
right,r.
right,r. side
right,r. x
right,right
right,right side
right,rt
right,rt side
right,rt.
right,rt. side
right,rx
right,rx.
size,enlarge
size,enlarge size
size,enlarge sized
size,enlarge+
size,enlarged
size,enlarged size
size,enlarged sized
size,enlarged+
size,enlargedsize
size,enlargedsized
size,enlargesize
size,enlargesized
size,extended
size,extended size
size,extended sized
size,extended+
size,extendedsize
size,extendedsized
size,large
size,large size
size,large sized
size,large+
size,largesize
size,largesized
size,lg
size,lg size
size,lg sized
size,lg+
size,lgsize
size,lgsized
size,med
size,med size
size,med sized
size,med+
size,medium
size,medium size
size,medium sized
size,medium+
size,mediumsize
size,mediumsized
size,medsize
size,medsized
size,minute
size,minute size
size,minute sized
size,minute+
size,minutesize
size,minutesized
size,mod
size,mod size
size,mod sized
size,mod+
size,moderate
size,moderate size
size,moderate sized
size,moderate+
size,moderatesize
size,moderatesized
size,modsize
size,modsized
size,shrunk
size,shrunk size
size,shrunk sized
size,shrunk+
size,shrunken
size,shrunken size
size,shrunken sized
size,shrunken+
size,shrunkensize
size,shrunkensized
size,shrunksize
size,shrunksized
size,sm
size,sm size
size,sm sized
size,sm+
size,sm-med
size,sm-med size
size,sm-med sized
size,sm-med+
size,sm-medsize
size,sm-medsized
size,small
size,small size
size,small sized
size,small+
size,smallsize
size,smallsized
size,smsize
size,smsized
size,swollen
size,swollen size
size,swollen sized
size,swollen+
size,tiny
size,tiny size
size,tiny sized
size,tiny+
size,tinysize
size,tinysized
size,unobservable
size,unobservable size
size,unobservable+
size,very moderate size
size,very moderate sized
size,very moderate+
size,very moderatesize
size,very moderatesized
size,very modsize
size,very modsized
size,very shrunk
size,very shrunk size
size,very shrunk sized
size,very shrunk+
size,very shrunken
size,very shrunken size
size,very shrunken sized
size,very shrunken+
size,very shrunkensize
size,very shrunkensized
size,very shrunksize
size,very shrunksized
size,very sm
size,very sm size
size,very sm sized
size,very sm+
size,very sm-med
size,very sm-med size
size,very sm-med sized
size,very sm-med+
size,very sm-medsize
size,very sm-medsized
size,very small
size,very small size
size,very small sized
size,very small+
size,very smallsize
size,very smallsized
size,very smsize
size,very smsized
size,very swollen
size,very swollen size
size,very swollen sized
size,very swollen+
size,very swollensize
size,very swollensized
size,very tiny
size,very tiny size
size,very tiny sized
size,very tiny+
size,very tinysize
size,very tinysized
size,very unobservable
size,very unobservable size
size,very unobservable+
texture,smooth
uterus,ut
uterus,uterine
uterus,uterus
visible,bare
visible,conspicuous
visible,definite
visible,faint
visible,hidden
visible,invisible
visible,prominen
visible,prominent
visible,seen
visible,very bare
visible,very conspicuous
visible,very definite
visible,very faint
visible,very hidden
visible,very invisible
visible,very prominen
visible,very prominent
visible,very seen
visible,very visible
visible,visible
